signal,family,selected,validation_score,validation_sharpe,max_abs_validation_corr_to_selected,fold
medium_term_trend,trend,True,1.254010824502643,1.354412228461182,0.0,fold_1
turn_of_month,seasonality,True,0.34174535969688635,0.5255413832657886,0.016727516816978927,fold_1
rsi_deep_value,volatility_mean_reversion,False,-0.2815132448148177,-0.028157442546560694,0.0,fold_1
rsi_gated_short,defensive_volatility,False,-0.2815132448148177,-0.028157442546560694,0.0,fold_1
skew_filter,risk_control,False,-0.2815132448148177,-0.028157442546560694,0.0,fold_1
dual_trend_macro,cross_asset_macro,False,-0.736007804607491,-0.5518477323424407,0.7079147266605305,fold_1
medium_term_trend,trend,False,-0.3357902605083353,-0.20581030974943945,0.0,fold_2
rsi_deep_value,volatility_mean_reversion,False,-1.0370299081575831,-0.7689895822970292,0.0,fold_2
rsi_gated_short,defensive_volatility,False,-1.0370299081575831,-0.7689895822970292,0.0,fold_2
skew_filter,risk_control,False,-1.0370299081575831,-0.7689895822970292,0.0,fold_2
turn_of_month,seasonality,False,-1.338301859496299,-1.1289025917497761,0.0,fold_2
dual_trend_macro,cross_asset_macro,False,-1.6139184597723988,-1.4221072234352956,0.0,fold_2
long_term_trend,trend,True,2.2483467959897823,2.3062346059914933,0.0,fold_3
vol_shock_dampener,risk_control,False,2.2483467959897823,2.3062346059914933,1.0,fold_3
rsi_deep_value,volatility_mean_reversion,True,1.5962386127912016,1.7000987618918593,0.0,fold_3
rsi_gated_short,defensive_volatility,True,1.5962386127912016,1.7000987618918593,0.0,fold_3
dual_trend_macro,cross_asset_macro,False,1.2648312025619357,1.3484848784415913,0.9309955964027152,fold_3
turn_of_month,seasonality,True,0.8492158332625812,0.942344208206006,0.01886633387188564,fold_3
medium_term_trend,trend,True,1.0167141792373602,1.1416104964124845,0.0,fold_4
vol_shock_dampener,risk_control,True,0.3484467561175423,0.5361314355557157,0.5013026509266502,fold_4
rsi_deep_value,volatility_mean_reversion,True,0.3337385857098114,0.5881943618326777,0.0,fold_4
rsi_gated_short,defensive_volatility,True,0.3337385857098114,0.5881943618326777,0.0,fold_4
dual_trend_macro,cross_asset_macro,False,0.32510905688835273,0.44987030530395544,0.9644438024674636,fold_4
turn_of_month,seasonality,True,0.22546141690946186,0.4033961193270061,0.03916799932836834,fold_4
turn_of_month,seasonality,False,-0.17872968034938966,-0.0018370414239086998,0.0,fold_5
medium_term_trend,trend,False,-0.18203626900287098,-0.01363225515634261,0.0,fold_5
rsi_deep_value,volatility_mean_reversion,False,-0.47252151757859606,-0.2180657414557298,0.0,fold_5
rsi_gated_short,defensive_volatility,False,-0.47252151757859606,-0.2180657414557298,0.0,fold_5
skew_filter,risk_control,False,-0.47252151757859606,-0.2180657414557298,0.0,fold_5
dual_trend_macro,cross_asset_macro,False,-0.5812801096114851,-0.4292770722990396,0.0,fold_5
medium_term_trend,trend,True,0.08521113403433583,0.22778087084388782,0.0,fold_6
rsi_deep_value,volatility_mean_reversion,False,-0.46070015033764933,-0.2776673077185644,0.0,fold_6
rsi_gated_short,defensive_volatility,False,-0.46070015033764933,-0.2776673077185644,0.0,fold_6
skew_filter,risk_control,False,-0.46070015033764933,-0.2776673077185644,0.0,fold_6
turn_of_month,seasonality,False,-0.49671693061041816,-0.3506556410303099,0.048175161868815826,fold_6
dual_trend_macro,cross_asset_macro,False,-1.6254743830497569,-1.3657240779262483,0.4931062843383451,fold_6
medium_term_trend,trend,True,0.2458947157691681,0.36400755532286155,0.0,fold_7
rsi_deep_value,volatility_mean_reversion,True,0.0705818891251121,0.2550474244845506,0.0,fold_7
rsi_gated_short,defensive_volatility,True,0.0705818891251121,0.2550474244845506,0.0,fold_7
skew_filter,risk_control,True,0.0705818891251121,0.2550474244845506,0.0,fold_7
turn_of_month,seasonality,False,-0.3480454186209196,-0.1924795944127344,0.08348298365823198,fold_7
dual_trend_macro,cross_asset_macro,False,-1.4499367552583775,-1.167043434655358,0.601617841706322,fold_7
turn_of_month,seasonality,True,1.077484691390241,1.1818258484570643,0.0,fold_8
rsi_deep_value,volatility_mean_reversion,True,0.8973319257213592,1.0400132535098763,0.0,fold_8
rsi_gated_short,defensive_volatility,True,0.8973319257213592,1.0400132535098763,0.0,fold_8
skew_filter,risk_control,True,0.8973319257213592,1.0400132535098763,0.0,fold_8
medium_term_trend,trend,True,0.06729239729348499,0.18378796417980076,0.024103384202072812,fold_8
dual_trend_macro,cross_asset_macro,False,-0.8539356665982518,-0.6560483913630906,0.5265399365399663,fold_8
turn_of_month,seasonality,False,-0.44875098836962857,-0.35533207747414114,0.0,fold_9
medium_term_trend,trend,False,-0.49027647142839287,-0.39994581386055783,0.0,fold_9
rsi_deep_value,volatility_mean_reversion,False,-1.4358374515299976,-1.2513922243419113,0.0,fold_9
rsi_gated_short,defensive_volatility,False,-1.4358374515299976,-1.2513922243419113,0.0,fold_9
skew_filter,risk_control,False,-1.4358374515299976,-1.2513922243419113,0.0,fold_9
dual_trend_macro,cross_asset_macro,False,-2.2257958351328,-2.0047376124476535,0.0,fold_9
